Symbol,Date,Close
TSLA,3/6/2019,18.42
TSLA,3/7/2019,18.44
TSLA,3/8/2019,18.94
TSLA,3/11/2019,19.39
TSLA,3/12/2019,18.89
TSLA,3/13/2019,19.26
TSLA,3/14/2019,19.33
TSLA,3/15/2019,18.36
TSLA,3/18/2019,17.97
TSLA,3/19/2019,17.83
TSLA,3/20/2019,18.24
TSLA,3/21/2019,18.27
TSLA,3/22/2019,17.64
TSLA,3/25/2019,17.36
TSLA,3/26/2019,17.85
TSLA,3/27/2019,18.32
TSLA,3/28/2019,18.57
TSLA,3/29/2019,18.66
TSLA,4/1/2019,19.28
TSLA,4/2/2019,19.06
TSLA,4/3/2019,19.45
TSLA,4/4/2019,17.85
TSLA,4/5/2019,18.33
TSLA,4/8/2019,18.21
TSLA,4/9/2019,18.15
TSLA,4/10/2019,18.4
TSLA,4/11/2019,17.89
TSLA,4/12/2019,17.85
TSLA,4/15/2019,17.76
TSLA,4/16/2019,18.22
TSLA,4/17/2019,18.08
TSLA,4/18/2019,18.22
TSLA,4/22/2019,17.52
TSLA,4/23/2019,17.59
TSLA,4/24/2019,17.24
TSLA,4/25/2019,16.51
TSLA,4/26/2019,15.68
TSLA,4/29/2019,16.1
TSLA,4/30/2019,15.91
TSLA,5/1/2019,15.6
TSLA,5/2/2019,16.27
TSLA,5/3/2019,17
TSLA,5/6/2019,17.02
TSLA,5/7/2019,16.47
TSLA,5/8/2019,16.32
TSLA,5/9/2019,16.13
TSLA,5/10/2019,15.97
TSLA,5/13/2019,15.13
TSLA,5/14/2019,15.49
TSLA,5/15/2019,15.46
TSLA,5/16/2019,15.22
TSLA,5/17/2019,14.07
TSLA,5/20/2019,13.69
TSLA,5/21/2019,13.67
TSLA,5/22/2019,12.85
TSLA,5/23/2019,13.03
TSLA,5/24/2019,12.71
TSLA,5/28/2019,12.58
TSLA,5/29/2019,12.66
TSLA,5/30/2019,12.55
TSLA,5/31/2019,12.34
TSLA,6/3/2019,11.93
TSLA,6/4/2019,12.91
TSLA,6/5/2019,13.11
TSLA,6/6/2019,13.73
TSLA,6/7/2019,13.63
TSLA,6/10/2019,14.19
TSLA,6/11/2019,14.47
TSLA,6/12/2019,13.95
TSLA,6/13/2019,14.26
TSLA,6/14/2019,14.33
TSLA,6/17/2019,15
TSLA,6/18/2019,14.98
TSLA,6/19/2019,15.1
TSLA,6/20/2019,14.64
TSLA,6/21/2019,14.79
TSLA,6/24/2019,14.91
TSLA,6/25/2019,14.65
TSLA,6/26/2019,14.62
TSLA,6/27/2019,14.86
TSLA,6/28/2019,14.9
TSLA,7/1/2019,15.14
TSLA,7/2/2019,14.97
TSLA,7/3/2019 13:00:00,15.66
TSLA,7/5/2019,15.54
TSLA,7/8/2019,15.36
TSLA,7/9/2019,15.34
TSLA,7/10/2019,15.93
TSLA,7/11/2019,15.91
TSLA,7/12/2019,16.34
TSLA,7/15/2019,16.9
TSLA,7/16/2019,16.83
TSLA,7/17/2019,16.99
TSLA,7/18/2019,16.9
TSLA,7/19/2019,17.21
TSLA,7/22/2019,17.05
TSLA,7/23/2019,17.34
TSLA,7/24/2019,17.66
TSLA,7/25/2019,15.25
TSLA,7/26/2019,15.2
TSLA,7/29/2019,15.72
TSLA,7/30/2019,16.15
TSLA,7/31/2019,16.11
TSLA,8/1/2019,15.59
TSLA,8/2/2019,15.62
TSLA,8/5/2019,15.22
TSLA,8/6/2019,15.38
TSLA,8/7/2019,15.56
TSLA,8/8/2019,15.89
TSLA,8/9/2019,15.67
TSLA,8/12/2019,15.27
TSLA,8/13/2019,15.67
TSLA,8/14/2019,14.64
TSLA,8/15/2019,14.38
TSLA,8/16/2019,14.66
TSLA,8/19/2019,15.12
TSLA,8/20/2019,15.06
TSLA,8/21/2019,14.72
TSLA,8/22/2019,14.81
TSLA,8/23/2019,14.09
TSLA,8/26/2019,14.33
TSLA,8/27/2019,14.27
TSLA,8/28/2019,14.37
TSLA,8/29/2019,14.78
TSLA,8/30/2019,15.04
TSLA,9/3/2019,15
TSLA,9/4/2019,14.71
TSLA,9/5/2019,15.31
TSLA,9/6/2019,15.16
TSLA,9/9/2019,15.45
TSLA,9/10/2019,15.7
TSLA,9/11/2019,16.47
TSLA,9/12/2019,16.39
TSLA,9/13/2019,16.35
TSLA,9/16/2019,16.19
TSLA,9/17/2019,16.32
TSLA,9/18/2019,16.23
TSLA,9/19/2019,16.44
TSLA,9/20/2019,16.04
TSLA,9/23/2019,16.08
TSLA,9/24/2019,14.88
TSLA,9/25/2019,15.25
TSLA,9/26/2019,16.17
TSLA,9/27/2019,16.14
TSLA,9/30/2019,16.06
TSLA,10/1/2019,16.31
TSLA,10/2/2019,16.21
TSLA,10/3/2019,15.54
TSLA,10/4/2019,15.43
TSLA,10/7/2019,15.85
TSLA,10/8/2019,16
TSLA,10/9/2019,16.3
TSLA,10/10/2019,16.32
TSLA,10/11/2019,16.53
TSLA,10/14/2019,17.13
TSLA,10/15/2019,17.19
TSLA,10/16/2019,17.32
TSLA,10/17/2019,17.46
TSLA,10/18/2019,17.13
TSLA,10/21/2019,16.9
TSLA,10/22/2019,17.04
TSLA,10/23/2019,16.98
TSLA,10/24/2019,19.98
TSLA,10/25/2019,21.88
TSLA,10/28/2019,21.85
TSLA,10/29/2019,21.08
TSLA,10/30/2019,21
TSLA,10/31/2019,20.99
TSLA,11/1/2019,20.89
TSLA,11/4/2019,21.16
TSLA,11/5/2019,21.15
TSLA,11/6/2019,21.77
TSLA,11/7/2019,22.37
TSLA,11/8/2019,22.48
TSLA,11/11/2019,23.01
TSLA,11/12/2019,23.33
TSLA,11/13/2019,23.07
TSLA,11/14/2019,23.29
TSLA,11/15/2019,23.48
TSLA,11/18/2019,23.33
TSLA,11/19/2019,23.97
TSLA,11/20/2019,23.48
TSLA,11/21/2019,23.66
TSLA,11/22/2019,22.2
TSLA,11/25/2019,22.42
TSLA,11/26/2019,21.93
TSLA,11/27/2019,22.09
TSLA,11/29/2019 13:00:00,22
TSLA,12/2/2019,22.32
TSLA,12/3/2019,22.41
TSLA,12/4/2019,22.2
TSLA,12/5/2019,22.02
TSLA,12/6/2019,22.39
TSLA,12/9/2019,22.64
TSLA,12/10/2019,23.26
TSLA,12/11/2019,23.51
TSLA,12/12/2019,23.98
TSLA,12/13/2019,23.89
TSLA,12/16/2019,25.43
TSLA,12/17/2019,25.27
TSLA,12/18/2019,26.21
TSLA,12/19/2019,26.94
TSLA,12/20/2019,27.04
TSLA,12/23/2019,27.95
TSLA,12/24/2019 13:00:00,28.35
TSLA,12/26/2019,28.73
TSLA,12/27/2019,28.69
TSLA,12/30/2019,27.65
